Artifact Type,Program Name,File Name,Path,Date/Time,Description,URL,User,Size
TSK_WEB_HISTORY,,,"https://mega.nz/upload",2024-03-15 08:00:00,MEGA Cloud Upload,,john_doe,
TSK_WEB_HISTORY,,,"https://www.google.com/search?q=how+to+delete+forensic+evidence",2024-03-15 09:03:00,Google - Delete Evidence Search,,john_doe,
TSK_WEB_HISTORY,,,"https://www.torproject.org/download/",2024-03-15 10:06:00,Tor Browser Download Page,,john_doe,
TSK_WEB_HISTORY,,,"https://drive.google.com/drive/u/1/my-drive",2024-03-15 11:09:00,Google Drive Upload,,john_doe,
TSK_WEB_HISTORY,,,"https://competitor-corp.com/careers/senior-engineer",2024-03-15 12:12:00,Competitor Job Listing,,john_doe,
TSK_WEB_HISTORY,,,"https://competitor-corp.com/salaries",2024-03-15 13:15:00,Competitor Salary Page,,john_doe,
TSK_WEB_HISTORY,,,"https://dropbox.com/upload",2024-03-15 14:18:00,Dropbox Upload Session,,john_doe,
TSK_WEB_HISTORY,,,"https://wetransfer.com",2024-03-15 15:21:00,WeTransfer File Send,,john_doe,
TSK_WEB_HISTORY,,,"https://pastebin.com/api",2024-03-15 16:24:00,Pastebin API Access,,john_doe,
TSK_WEB_HISTORY,,,"https://www.linkedin.com/in/competitor-recruiter",2024-03-15 17:27:00,LinkedIn - Recruiter Profile,,john_doe,
TSK_EMAIL_MESSAGE,,,,2024-03-16 06:00:00,"From: john.doe@corp.com To: recruiter@competitor.com Subject: Strategy Docs Attached -- Sent confidential strategy docs",,john_doe,
TSK_EMAIL_MESSAGE,,,,2024-03-16 07:05:00,"From: john.doe@corp.com To: j.doe@protonmail.com Subject: Backup -- Personal backup of client DB",,john_doe,
TSK_EMAIL_MESSAGE,,,,2024-03-16 08:10:00,"From: john.doe@corp.com To: john.personal@gmail.com Subject: Work files -- Q4 planning spreadsheet",,john_doe,
TSK_EMAIL_MESSAGE,,,,2024-03-16 09:15:00,"From: recruiter@competitor.com To: john.doe@corp.com Subject: Re: Opportunity -- Interview invitation",,john_doe,
TSK_EMAIL_MESSAGE,,,,2024-03-16 10:20:00,"From: john.doe@corp.com To: manager@corp.com Subject: Resignation -- Two weeks notice",,john_doe,
TSK_DEVICE_ATTACHED,,,F:,2024-03-15 16:30:00,"SanDisk Ultra USB 3.0 64GB - Serial: 4C530001200115119007",,john_doe,
TSK_DEVICE_ATTACHED,,,G:,2024-03-15 17:35:00,"Kingston DataTraveler 32GB - Serial: 001234ABCD",,john_doe,
TSK_DEVICE_ATTACHED,,,H:,2024-03-15 18:40:00,"WD My Passport 1TB - Serial: WX51A71C0921",,john_doe,
TSK_INSTALLED_PROG,CCleaner Professional,,"C:\Program Files\CCleaner",2024-03-10 09:00:00,File Wiping Tool v6.19,,john_doe,
